School,Record
Oregon,13-1
Notre Dame,14-2
Ohio St,14-2
Army,12-2
Boise St,12-2
Indiana,11-2
Memphis,11-2
BYU,11-2
Texas,13-3
Penn St,13-3
Ohio,11-3
SMU,11-3
Arizona St,11-3
Iowa St,11-3
Georgia,11-3
UNLV,11-3
Syracuse,10-3
Tennessee,10-3
Miami,10-3
Marshall,10-3
Navy,10-3
Illinois,10-3
Sam Houston,10-3
Mississippi,10-3
Missouri,10-3
Louisiana,10-4
Clemson,10-4
Alabama,9-4
South Carolina,9-4
Colorado,9-4
Louisville,9-4
TCU,9-4
Kansas St,9-4
J Madison,9-4
Buffalo,9-4
UConn,9-4
Duke,9-4
LSU,9-4
Liberty,8-4
Miami OH,9-5
Tulane,9-5
Jacksonville St,9-5
Arkansas St,8-5
N Illinois,8-5
Texas St,8-5
Washington St,8-5
Iowa,8-5
Baylor,8-5
Florida,8-5
E Carolina,8-5
Texas Tech,8-5
Texas A&M,8-5
Michigan,8-5
Colorado St,8-5
Toledo,8-5
Minnesota,8-5
Georgia So,8-5
W Kentucky,8-6
Rutgers,7-6
Vanderbilt,7-6
USC,7-6
Bowling Green,7-6
Georgia Tech,7-6
Pittsburgh,7-6
Arkansas,7-6
San Jose St,7-6
UTSA,7-6
Nebraska,7-6
S Alabama,7-6
Boston College,7-6
S Florida,7-6
Virginia Tech,6-7
Washington,6-7
California,6-7
W Michigan,6-7
Coastal Car,6-7
N Texas,6-7
Oklahoma,6-7
NC State,6-7
West Virginia,6-7
North Carolina,6-7
Fresno St,6-7
App State,5-6
Wisconsin,5-7
Kansas,5-7
Oregon St,5-7
E Michigan,5-7
UCLA,5-7
Michigan St,5-7
Cincinnati,5-7
Utah,5-7
Auburn,5-7
New Mexico,5-7
Air Force,5-7
Old Dominion,5-7
UL Monroe,5-7
Virginia,5-7
Hawai'i,5-7
Charlotte,5-7
Louisiana Tech,5-8
Rice,4-8
Wake Forest,4-8
Northwestern,4-8
Utah St,4-8
Houston,4-8
UCF,4-8
C Michigan,4-8
Arizona,4-8
Akron,4-8
Maryland,4-8
Troy,4-8
Florida Intl,4-8
Kentucky,4-8
Wyoming,3-9
Georgia St,3-9
Temple,3-9
UTEP,3-9
UAB,3-9
New Mexico St,3-9
Florida Atlantic,3-9
San Diego St,3-9
Tulsa,3-9
Oklahoma St,3-9
Middle Tenn,3-9
Ball St,3-9
Stanford,3-9
Nevada,3-10
Kennesaw St,2-10
Mississippi St,2-10
Florida St,2-10
UMass,2-10
Southern Miss,1-11
Purdue,1-11
Missouri St,0-1
Kent St,0-12
